event,goalie_in_id,goalie_out_id,period_id,time,team_code,s,team_id,goalie_in_info.player_id,goalie_in_info.jersey_number,goalie_in_info.team_id,goalie_in_info.team_code,goalie_in_info.first_name,goalie_in_info.last_name,id,period,time_formatted,home_player_id,visitor_player_id,home_win,location_id,x_location,y_location,win_team_id,player_home.player_id,player_home.jersey_number,player_home.team_id,player_home.team_code,player_home.first_name,player_home.last_name,player_visitor.player_id,player_visitor.jersey_number,player_visitor.team_id,player_visitor.team_code,player_visitor.first_name,player_visitor.last_name,home,player_id,hit_type,hitter.player_id,hitter.jersey_number,hitter.team_id,hitter.team_code,hitter.first_name,hitter.last_name,goalie_id,shot_type,shot_type_description,shot_quality_description,quality,game_goal_id,player_team_id,goalie_team_id,assist1_player_id,assist2_player_id,goal_type_name,player.player_id,player.jersey_number,player.team_id,player.team_code,player.first_name,player.last_name,goalie.player_id,goalie.jersey_number,goalie.team_id,goalie.team_code,goalie.first_name,goalie.last_name,goal_type,goal_player_id,location_set,power_play,empty_net,penalty_shot,short_handed,insurance_goal,game_winning,game_tieing,scorer_goal_num,plus,minus,goal_scorer.player_id,goal_scorer.jersey_number,goal_scorer.team_id,goal_scorer.team_code,goal_scorer.first_name,goal_scorer.last_name,assist1_player.player_id,assist1_player.jersey_number,assist1_player.team_id,assist1_player.team_code,assist1_player.first_name,assist1_player.last_name,assist2_player.player_id,assist2_player.jersey_number,assist2_player.team_id,assist2_player.team_code,assist2_player.first_name,assist2_player.last_name,player_served,offence,pp,time_off_formatted,bench,minutes,minutes_formatted,penalty_class_id,penalty_class,lang_penalty_description,player_penalized_info.player_id,player_penalized_info.jersey_number,player_penalized_info.team_id,player_penalized_info.team_code,player_penalized_info.first_name,player_penalized_info.last_name,player_served_info.player_id,player_served_info.jersey_number,player_served_info.team_id,player_served_info.team_code,player_served_info.first_name,player_served_info.last_name,goalie_out_info.player_id,goalie_out_info.jersey_number,goalie_out_info.team_id,goalie_out_info.team_code,goalie_out_info.first_name,goalie_out_info.last_name
faceoff,,,,00:01:28,,88,,,,,,,,1,1,1:28,20164,21292,1,2,100.0,206.0,1,20164,18,1,Mon,Caleb,Desnoyers,21292,91,12,Gat,Simon-Xavier,Cyr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot,,,1,03:38,,218,1,,,,,,,690403,,3:38,,,,,62.0,164.0,,,,,,,,,,,,,,1,19090,,,,,,,,23743,5,Default,Quality on net,1,,1,12,,,,19090,10,1,Mon,Alex,Mercier,23743,90,12,Gat,Danai,Shaiikov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faceoff,,,,00:03:39,,219,,,,,,,,1,1,3:39,19625,22097,0,2,100.0,206.0,12,19625,23,1,Mon,Riley,Sampson,22097,72,12,Gat,Nicholas,Petrut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot,,,1,03:57,,237,12,,,,,,,690404,,3:57,,,,,476.0,95.0,,,,,,,,,,,,,,0,22097,,,,,,,,21388,5,Default,Quality on net,1,,12,1,,,,22097,72,12,Gat,Nicholas,Petrut,21388,35,1,Mon,Jacoby,Weiner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot,,,1,04:08,,248,1,,,,,,,690405,,4:08,,,,,82.0,154.0,,,,,,,,,,,,,,1,19625,,,,,,,,23743,5,Default,Quality on net,1,,1,12,,,,19625,23,1,Mon,Riley,Sampson,23743,90,12,Gat,Danai,Shaiikov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hit,,,,00:04:13,,253,1,,,,,,,349255,1,4:13,,,,,7.0,148.0,,,,,,,,,,,,,,1,23424,1,23424,71,1,Mon,Grayden,Robertson-Palmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hit,,,,00:04:31,,271,12,,,,,,,349256,1,4:31,,,,,309.0,295.0,,,,,,,,,,,,,,0,19103,1,19103,13,12,Gat,Jérémie,Dumas-Larouche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faceoff,,,,00:05:21,,321,,,,,,,,1,1,5:21,19539,21292,0,2,100.0,206.0,12,19539,9,1,Mon,Gabe,Smith,21292,91,12,Gat,Simon-Xavier,Cyr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot,,,1,05:27,,327,1,,,,,,,690406,,5:27,,,,,211.0,52.0,,,,,,,,,,,,,,1,19090,,,,,,,,23743,5,Default,Non quality on net,2,,1,12,,,,19090,10,1,Mon,Alex,Mercier,23743,90,12,Gat,Danai,Shaiikov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot,,,1,05:47,,347,1,,,,,,,690407,,5:47,,,,,83.0,142.0,,,,,,,,,,,,,,1,19090,,,,,,,,23743,5,Default,Quality on net,1,,1,12,,,,19090,10,1,Mon,Alex,Mercier,23743,90,12,Gat,Danai,Shaiikov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faceoff,,,,00:05:49,,349,,,,,,,,1,1,5:49,20164,21290,1,1,100.0,49.0,1,20164,18,1,Mon,Caleb,Desnoyers,21290,86,12,Gat,Maxim,Dubé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot,,,1,05:55,,355,1,,,,,,,690408,,5:55,,,,,201.0,248.0,,,,,,,,,,,,,,1,23761,,,,,,,,23743,5,Default,Non quality on net,2,,1,12,,,,23761,2,1,Mon,Max,Vilen,23743,90,12,Gat,Danai,Shaiikov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot,,,1,06:07,,367,1,,,,,,,690409,,6:07,,,,,212.0,27.0,,,,,,,,,,,,,,1,19555,,,,,,,,23743,5,Default,Non quality on net,2,,1,12,,,,19555,44,1,Mon,Evan,Dépatie,23743,90,12,Gat,Danai,Shaiikov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faceoff,,,,00:06:10,,370,,,,,,,,1,1,6:10,23749,22097,0,2,100.0,206.0,12,23749,27,1,Mon,Kuzma,Voronin,22097,72,12,Gat,Nicholas,Petrut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
